name,number,reference,citation,dvalue,newk,newknum,refage,C&D,C&D_p,K&D,K&D_p,K&C,K&C_p,K&A,K&A_p,D&A,D&A_P
quantum_electrodynamics,119200,26.387,36.285,0.044,0.07,0.085,-9.281,-0.04105136860112257,1.2366941150561722e-45,0.006837239724419511,0.018246186321637117,0.04585143763432371,1.68707337705625e-56,0.011488912352824041,7.28817014383617e-05,-0.169730384171257,0.0
mathematical_physics,36135,21.377,32.183,0.039,0.155,0.199,-11.46,-0.039831659576530926,3.6071635005632044e-14,-0.00011235524631156724,0.9829607917733186,0.05568389203980345,3.2140768339252825e-26,0.018613072809901352,0.00040258735793434486,-0.11747305212725861,3.322649776442224e-111
virology,501975,33.82,42.737,0.016,0.115,0.142,-8.188,-0.043377828005346335,1.3136719454673893e-207,0.02597398474611632,1.18295410613342e-75,0.029452510019419318,9.695821668449486e-97,-0.022057029802848196,4.597491974617473e-55,-0.023995889728771497,7.730698980959562e-65
clinical_psychology,274962,35.13,47.816,0.024,0.105,0.124,-10.027,-0.0412374482724155,8.843414177568215e-104,0.029572682881256737,2.955147723727485e-54,0.033611313410885184,1.459852162369947e-69,0.026626557064743962,2.565863391249716e-44,-0.0317550118884487,2.7629334697703264e-62
pediatrics,192168,25.606,41.3,0.029,0.177,0.222,-9.286,-0.0469689980795659,2.6871640340327346e-94,0.014703132531840735,1.1505717990348412e-10,0.011913427915965535,1.7639272231317742e-07,-0.009870654096779998,1.511038949983006e-05,-0.030220780723098074,4.463303376796714e-40
general_surgery,145405,26.154,36.695,0.024,0.182,0.235,-9.226,-0.052013340042587106,1.1699308932183897e-87,0.02610234433726501,2.3992333140665387e-23,0.03638092581496358,8.70168217167663e-44,-0.021442785881047498,2.8995083524903693e-16,-0.03561700208840307,4.870454160254428e-42
criminology,29472,29.619,34.196,0.067,0.278,0.38,-11.501,-0.07837035385068475,2.2152618913538137e-41,0.01899204057067928,0.0011117776557910389,0.035608424826772116,9.67239843961427e-10,-0.0011688253531687816,0.8409733456794076,-0.021258349971906024,0.00026247938780330074
reliability_engineering,39228,16.982,26.955,0.108,0.306,0.432,-8.726,-0.1012185949279746,7.6196963882127165e-90,0.00878047494469122,0.08202698660806872,0.03992093925394804,2.5808047377855448e-15,0.04227753867220976,5.4297114680794766e-17,0.03175539322091781,3.1567511163577724e-10
environmental_resource_management,112876,31.687,42.236,0.066,0.198,0.266,-8.689,-0.06277592525062725,6.245163973710593e-99,0.03882755760322372,6.381505572202492e-39,0.017192812316066862,7.620882645682292e-09,-0.03364119812102333,1.2322779348738187e-29,-0.02053416199089962,5.217918320200637e-12
computer_engineering,8700,17.976,31.409,0.094,0.545,0.943,-7.419,-0.04376726324768094,4.4322579313618405e-05,0.012374024159566661,0.2484794755839396,0.03972543532010378,0.00021033204790965276,0.02261470648523288,0.0349164485984905,-0.010433796456001747,0.33051036621499263
