name,number,reference,citation,dvalue,newk,newknum,refage,D_K,nD_K,D_nK,nD_nK
quantum_electrodynamics,119200,26.387,36.285,0.044,0.07,0.085,-9.281,-13.954,-8.72,-15.062,-9.039
mathematical_physics,36135,21.377,32.183,0.039,0.155,0.199,-11.46,-17.12,-10.836,-16.404,-11.33
virology,501975,33.82,42.737,0.016,0.115,0.142,-8.188,-9.602,-8.469,-9.048,-8.134
clinical_psychology,274962,35.13,47.816,0.024,0.105,0.124,-10.027,-10.383,-9.669,-10.988,-10.045
pediatrics,192168,25.606,41.3,0.029,0.177,0.222,-9.286,-10.229,-9.386,-10.371,-9.226
general_surgery,145405,26.154,36.695,0.024,0.182,0.235,-9.226,-11.056,-9.445,-10.428,-9.137
criminology,29472,29.619,34.196,0.067,0.278,0.38,-11.501,-11.996,-11.475,-12.028,-11.46
reliability_engineering,39228,16.982,26.955,0.108,0.306,0.432,-8.726,-8.271,-8.412,-8.246,-8.946
environmental_resource_management,112876,31.687,42.236,0.066,0.198,0.266,-8.689,-8.877,-9.025,-9.119,-8.576
computer_engineering,8700,17.976,31.409,0.094,0.545,0.943,-7.419,-7.578,-7.295,-7.56,-7.533
food_science,173628,25.025,29.634,0.102,0.169,0.215,-10.735,-10.141,-10.576,-9.231,-10.954
psychiatry,337898,35.106,45.043,0.026,0.107,0.129,-9.5,-10.517,-9.648,-10.228,-9.459
statistical_physics,64246,26.739,40.712,0.038,0.233,0.311,-12.031,-14.401,-10.968,-15.969,-12.17
political_economy,46696,28.798,36.719,0.105,0.206,0.262,-12.116,-12.973,-12.41,-12.525,-11.966
risk_analysis,20240,27.978,34.861,0.098,0.448,0.729,-8.319,-8.577,-8.194,-8.597,-8.368
economic_history,6130,27.939,26.873,0.197,0.38,0.586,-15.48,-14.939,-15.876,-14.478,-15.567
nursing,228898,23.421,28.678,0.078,0.118,0.151,-8.121,-8.15,-8.411,-8.207,-8.075
archaeology,50575,27.327,24.964,0.063,0.286,0.432,-15.224,-16.957,-14.943,-18.081,-15.098
